Date ,Month,Year,keyword,rising,
01/07/2016,July,2016,crushed potatoes,1.10,
01/07/2016,July,2016,new potatoes recipes,1.10,
01/07/2016,July,2016,saute potatoes,1.00,
01/07/2016,July,2016,potato dauphinoise recipe,0.70,
01/07/2016,July,2016,fondant potatoes,0.60,
01/07/2016,July,2016,new potato recipes,0.50,
01/07/2016,July,2016,perfect roast potatoes,0.50,
01/07/2016,July,2016,crushed new potatoes,0.40,
01/08/2016,Aug,2016,italian potato dumplings,6.50,
01/08/2016,Aug,2016,sea potato,6.50,
01/08/2016,Aug,2016,kartoffel,1.30,
01/08/2016,Aug,2016,sea potatoes,1.20,
01/08/2016,Aug,2016,potato fritters,0.90,
01/08/2016,Aug,2016,best roast potatoes,0.90,
01/08/2016,Aug,2016,roasted potatoes,0.60,
01/08/2016,Aug,2016,parmentier potatoes,0.60,
01/08/2016,Aug,2016,dauphinoise potatoes,0.50,
01/08/2016,Aug,2016,sauteed potatoes,0.50,
01/09/2016,Sep,2016,hot potato cafe,2.00,
01/09/2016,Sep,2016,best roast potatoes,0.90,
01/09/2016,Sep,2016,fondant potato,0.80,
01/09/2016,Sep,2016,crushed new potatoes,0.60,
01/09/2016,Sep,2016,storing potatoes,0.50,
01/09/2016,Sep,2016,dauphine potatoes,0.40,
01/09/2016,Sep,2016,dauphinoise potatoes,0.40,
01/09/2016,Sep,2016,microwave potato,0.40,
01/10/2016,Oct,2016,floury potatoes,2.50,
01/10/2016,Oct,2016,musaca de cartofi,1.50,
01/10/2016,Oct,2016,perfect roast potatoes,1.00,
01/10/2016,Oct,2016,muffalo potato,0.90,
01/10/2016,Oct,2016,parmentier potatoes,0.80,
01/10/2016,Oct,2016,roast chicken,0.60,
01/10/2016,Oct,2016,potato leek soup,0.60,
01/10/2016,Oct,2016,potato boulangere,0.60,
01/10/2016,Oct,2016,gratin potatoes,0.50,
01/10/2016,Oct,2016,mancare de cartofi,0.40,
01/10/2016,Oct,2016,best roast potatoes,0.40,
01/11/2016,Nov,2016,mesh potato,30.00,
01/11/2016,Nov,2016,dauphine potatoes,5.00,
01/11/2016,Nov,2016,best roasting potatoes,5.00,
01/11/2016,Nov,2016,freezing roast potatoes,3.50,
01/11/2016,Nov,2016,roasting potatoes,2.50,
01/11/2016,Nov,2016,best roast potatoes,1.60,
01/11/2016,Nov,2016,yorkshire pudding recipe,1.60,
01/11/2016,Nov,2016,hasselback potato,1.50,
01/11/2016,Nov,2016,caito potatoe,1.20,
01/11/2016,Nov,2016,potato dauphinoise recipe,1.10,
01/11/2016,Nov,2016,perfect roast potatoes,1.10,
01/11/2016,Nov,2016,red potatoes,0.80,
01/11/2016,Nov,2016,confit potatoes,0.80,
01/11/2016,Nov,2016,roast potatoes recipe,0.70,
01/11/2016,Nov,2016,roast new potatoes,0.70,
01/11/2016,Nov,2016,roast potatoes,0.60,
01/11/2016,Nov,2016,dauphinoise potatoes recipe,0.60,
01/11/2016,Nov,2016,crispy roast potatoes,0.60,
01/11/2016,Nov,2016,maris piper potatoes,0.50,
01/11/2016,Nov,2016,fondant potatoes,0.50,
